playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.position,playerDetails.photoURL,team.teamName,team.teamAbbr,team.teamNickname,team.teamId,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000044,0.0,Jez,McLennan,185,85,43,RIGHT,SA,MEDIUM_DEFENDER,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000044.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,GCFC,Suns,CD_T1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000061,0.0,Callum,Coleman-Jones,200,102,40,RIGHT,SA,RUCK,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000061.png?i10c=img.resize(scale_height:0.6),Richmond,RICH,Tigers,CD_T120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000068,0.0,Chris,Burgess,191,94,29,RIGHT,SA,KEY_DEFENDER,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000068.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,GCFC,Suns,CD_T1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000072,17.0,John,Noble,180,71,9,RIGHT,SA,MEDIUM_DEFENDER,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000072.png?i10c=img.resize(scale_height:0.6),Collingwood,COLL,Magpies,CD_T40,17.0,81.4,0.0,4.0,1.0,39.0,2.0,50.0,4.0,0.0,22.3,61.0,0.0,0.0,0.0,111.0,78.7,277.0,992.0,218.0,115.0,1.0,10.0,14.0,100.0,1.0,2.0,52.0,116.0,0.0,0.0,0.0,0.0,21.0,10.0,62.0,71.4,161.0,1.4,55.0,0.0,2.0,3825.0,15.0,156.0,569.0,32.4,41.0,0.0,31.0,8.0,2.0,11.0,5.0,29.0,1.0,6.0,274.0,57.0,213.0,17.0,81.4,0.0,0.2,0.1,2.3,0.1,50.0,0.2,0.0,22.3,3.6,0.0,0.0,0.0,6.5,78.7,16.3,58.4,12.8,6.8,0.1,0.6,0.8,100.0,0.1,0.1,3.1,6.8,0.0,0.0,0.0,0.0,1.2,0.6,3.6,71.4,9.5,1.4,3.2,0.0,0.1,225.0,0.9,9.2,32.4,2.4,0.0,1.8,0.5,0.1,0.6,0.3,1.7,0.1,0.4,16.1,3.4,12.5
CD_I1000223,20.0,Liam,Baker,173,72,7,RIGHT,WA,MEDIUM_DEFENDER,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000223.png?i10c=img.resize(scale_height:0.6),Richmond,RICH,Tigers,CD_T120,20.0,78.2,1.0,3.0,1.0,39.0,5.0,31.3,16.0,1.0,38.4,114.0,0.0,0.0,0.0,121.0,73.4,297.0,1122.0,218.0,116.0,0.0,13.0,19.0,50.0,4.0,1.0,90.0,131.0,0.0,0.0,0.0,0.0,27.0,19.0,113.0,69.9,166.0,1.3,73.0,0.0,1.0,4512.0,40.0,184.0,222.0,277.9,54.0,0.0,45.0,25.0,2.0,27.0,9.0,39.0,2.0,10.0,297.0,56.0,183.0,20.0,78.2,0.1,0.2,0.1,2.0,0.3,31.3,0.8,0.1,38.4,5.7,0.0,0.0,0.0,6.1,73.4,14.9,56.1,10.9,5.8,0.0,0.7,1.0,50.0,0.2,0.1,4.5,6.6,0.0,0.0,0.0,0.0,1.4,1.0,5.7,69.9,8.3,1.3,3.7,0.0,0.1,225.6,2.0,9.2,277.9,2.7,0.0,2.3,1.3,0.1,1.4,0.5,2.0,0.1,0.5,14.9,2.8,9.2
CD_I1000267,2.0,Matthew,Parker,190,80,34,RIGHT,WA,MEDIUM_FORWARD,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000267.png?i10c=img.resize(scale_height:0.6),St Kilda,STK,Saints,CD_T130,2.0,73.5,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,53.8,7.0,1.0,0.0,0.0,7.0,61.5,13.0,55.0,8.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,50.0,8.0,1.6,1.0,0.0,1.0,152.0,2.0,28.0,492.0,99.5,0.0,1.0,4.0,1.0,3.0,1.0,0.0,5.0,2.0,0.0,13.0,3.0,6.0,2.0,73.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,53.8,3.5,0.5,0.0,0.0,3.5,61.5,6.5,27.5,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.5,0.0,2.0,50.0,4.0,1.6,0.5,0.0,0.5,76.3,1.0,14.0,99.5,0.0,0.5,2.0,0.5,1.5,0.5,0.0,2.5,1.0,0.0,6.5,1.5,3.0
CD_I1000860,17.0,Lachie,Schultz,178,78,28,RIGHT,VIC,MEDIUM_FORWARD,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000860.png?i10c=img.resize(scale_height:0.6),Fremantle,FRE,Dockers,CD_T60,17.0,80.9,7.0,0.0,0.0,45.0,0.0,0.0,0.0,4.0,37.2,64.0,11.0,0.0,0.0,66.0,60.4,169.0,853.0,102.0,57.0,17.0,13.0,15.0,46.2,5.0,12.0,42.0,60.0,0.0,0.0,0.0,0.0,28.0,1.0,16.0,52.3,109.0,1.8,61.0,17.0,10.0,2938.0,8.0,218.0,481.0,104.7,5.0,0.0,45.0,3.0,26.0,3.0,5.0,42.0,16.0,5.0,172.0,54.0,108.0,17.0,80.9,0.4,0.0,0.0,2.6,0.0,0.0,0.0,0.2,37.2,3.8,0.6,0.0,0.0,3.9,60.4,9.9,50.2,6.0,3.4,1.0,0.8,0.9,46.2,0.3,0.7,2.5,3.5,0.0,0.0,0.0,0.0,1.6,0.1,0.9,52.3,6.4,1.8,3.6,1.0,0.6,172.8,0.5,12.8,104.7,0.3,0.0,2.6,0.2,1.5,0.2,0.3,2.5,0.9,0.3,10.1,3.2,6.4
CD_I1000887,8.0,Mitch,Lewis,198,98,2,RIGHT,VIC,KEY_FORWARD,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000887.png?i10c=img.resize(scale_height:0.6),Hawthorn,HAW,Hawks,CD_T80,8.0,75.2,5.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,45.1,23.0,18.0,3.0,16.7,10.0,71.7,46.0,224.0,33.0,17.0,7.0,5.0,3.0,38.5,2.0,5.0,13.0,18.0,16.0,4.0,25.0,28.1,8.0,1.0,5.0,60.7,28.0,1.6,15.0,5.0,2.0,704.0,8.0,62.0,470.0,111.7,0.0,57.0,21.0,3.0,13.0,4.0,0.0,5.0,3.0,1.0,51.0,10.0,28.0,8.0,75.2,0.6,0.0,0.1,1.1,0.0,0.0,0.0,0.4,45.1,2.9,2.3,0.4,16.7,1.3,71.7,5.8,28.0,4.1,2.1,0.9,0.6,0.4,38.5,0.3,0.6,1.6,2.3,2.0,0.5,25.0,28.1,1.0,0.1,0.6,60.7,3.5,1.6,1.9,0.6,0.3,88.0,1.0,7.8,111.7,0.0,7.1,2.6,0.4,1.6,0.5,0.0,0.6,0.4,0.1,6.4,1.3,3.5
CD_I1000905,5.0,Tom,Murphy,189,84,40,RIGHT,VIC,MIDFIELDER,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000905.png?i10c=img.resize(scale_height:0.6),North Melbourne,NMFC,Kangaroos,CD_T100,5.0,72.5,2.0,1.0,0.0,9.0,1.0,100.0,1.0,1.0,31.9,15.0,1.0,1.0,100.0,26.0,76.6,47.0,211.0,36.0,20.0,3.0,0.0,1.0,33.3,0.0,1.0,12.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,71.4,28.0,1.5,16.0,2.0,0.0,1007.0,2.0,48.0,586.0,22.4,6.0,0.0,7.0,0.0,3.0,0.0,1.0,8.0,0.0,1.0,47.0,13.0,32.0,5.0,72.5,0.4,0.2,0.0,1.8,0.2,100.0,0.2,0.2,31.9,3.0,0.2,0.2,100.0,5.2,76.6,9.4,42.2,7.2,4.0,0.6,0.0,0.2,33.3,0.0,0.2,2.4,3.8,0.0,0.0,0.0,0.0,2.0,0.0,1.2,71.4,5.6,1.5,3.2,0.4,0.0,201.5,0.4,9.6,22.4,1.2,0.0,1.4,0.0,0.6,0.0,0.2,1.6,0.0,0.2,9.4,2.6,6.4
CD_I1000908,5.0,Myles,Poholke,187,85,10,RIGHT,VIC,MIDFIELDER_FORWARD,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2020/1000908.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,ADEL,Crows,CD_T10,5.0,79.0,1.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,42.6,23.0,3.0,0.0,0.0,30.0,61.5,52.0,225.0,32.0,14.0,4.0,5.0,1.0,66.7,2.0,2.0,17.0,23.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,48.3,29.0,1.3,15.0,3.0,1.0,872.0,5.0,61.0,534.0,51.1,2.0,0.0,14.0,2.0,3.0,2.0,6.0,12.0,0.0,7.0,54.0,16.0,31.0,5.0,79.0,0.2,0.4,0.2,2.2,0.0,0.0,0.0,0.2,42.6,4.6,0.6,0.0,0.0,6.0,61.5,10.4,45.0,6.4,2.8,0.8,1.0,0.2,66.7,0.4,0.4,3.4,4.6,0.0,0.0,0.0,0.0,1.6,0.2,1.0,48.3,5.8,1.3,3.0,0.6,0.2,174.6,1.0,12.2,51.1,0.4,0.0,2.8,0.4,0.6,0.4,1.2,2.4,0.0,1.4,10.8,3.2,6.2
